OrderID,CustomerID,ProductID,Quantity,Price,OrderDate,Region,TotalAmount
91,4459,186,3,261.77,05/10/2023,South,785.31
92,4073,366,4,325.13,01/12/2023,South,1300.52
93,2021,233,8,418.32,18/01/2023,South,3346.56
94,4461,366,3,477.83,27/10/2023,South,1433.49
95,3613,432,7,437.3,19/04/2023,South,3061.1
96,2129,367,1,494.41,01/02/2023,West,494.41
97,4843,152,9,240.47,25/02/2023,North,2164.23
98,4893,198,6,161.69,16/08/2023,West,970.14
99,2500,346,3,232.55,15/03/2023,East,697.6500000000001
100,1702,135,7,323.84,09/01/2023,North,2266.8799999999997
101,3449,127,5,256.09,30/03/2023,North,1280.4499999999998
102,3777,319,8,318.89,12/05/2023,East,2551.12
103,2579,201,8,443.93,21/10/2023,South,3551.44
104,1161,362,9,87.08,26/08/2023,South,783.72
105,1201,370,6,64.53,22/12/2023,East,387.18
106,2981,323,4,251.77,07/09/2023,West,1007.08
107,1995,238,2,490.98,11/02/2023,West,981.96
108,3317,379,3,34.23,19/08/2023,North,102.69
109,4934,385,5,493.35,19/06/2023,West,2466.75
110,1815,349,8,484.01,12/11/2023,West,3872.08
111,4342,421,2,149.84,31/03/2023,West,299.68
112,1455,416,5,446.05,10/07/2023,East,2230.25
113,4533,177,9,8.84,04/10/2023,North,79.56
114,4798,396,2,229.76,07/05/2023,East,459.52
115,2275,437,8,204.05,13/05/2023,West,1632.4
116,2016,406,3,451.82,13/10/2023,East,1355.46
117,4773,450,8,238.79,04/03/2023,North,1910.32
118,3343,112,4,211.88,28/08/2023,South,847.52
119,4796,445,4,321.6,07/02/2023,North,1286.4
120,3767,495,7,191.02,13/06/2023,West,1337.14
121,4820,181,5,270.6,07/02/2023,West,1353
122,1337,108,4,478.01,06/10/2023,North,1912.04
123,1878,312,7,105.3,31/05/2023,South,737.1
124,2076,147,3,232.16,27/02/2023,South,696.48
125,1791,148,9,12.61,25/06/2023,South,113.49
126,4993,408,5,421.91,31/08/2023,North,2109.55
127,3264,139,3,50.55,29/12/2023,West,151.64999999999998
128,1763,462,2,51.91,23/06/2023,West,103.82
129,3235,379,7,442.01,09/12/2023,West,3094.0699999999997
130,1379,325,7,207.6,23/05/2023,East,1453.2
131,1492,207,5,345.21,14/09/2023,West,1726.05
132,4112,344,4,429.63,10/04/2023,South,1718.52
133,2180,354,2,190.37,14/12/2023,East,380.74
134,3062,132,2,134.47,21/07/2023,North,268.94
135,4884,122,7,88.91,02/02/2023,South,622.37
136,1064,432,7,305.52,01/06/2023,North,2138.64
137,4928,153,4,129.87,11/03/2023,West,519.48
138,4910,408,4,318.97,22/05/2023,East,1275.88
139,3568,148,4,161.99,03/09/2023,North,647.96
140,2367,177,2,177.15,06/04/2023,South,354.3
141,2152,435,9,128.31,05/12/2023,South,1154.79
142,3027,457,1,212.14,25/03/2023,North,212.14
143,3695,221,8,85.25,05/05/2023,West,682
144,2495,458,6,163.25,06/12/2023,East,979.5
145,4134,189,7,390.05,15/06/2023,West,2730.35
146,2162,445,5,111.73,19/05/2023,West,558.65
147,2522,292,6,473.82,09/06/2023,West,2842.92
148,3640,476,6,249,13/10/2023,North,1494
149,1391,343,9,57.93,27/03/2023,West,521.37
150,2698,248,4,471.82,19/05/2023,North,1887.28
151,1418,245,5,231.06,15/04/2023,South,1155.3
152,3336,415,4,280.7,19/03/2023,South,1122.8
153,1378,477,1,96.67,07/08/2023,South,96.67
154,2796,240,6,169.99,11/07/2023,North,1019.94
155,4561,385,5,353.3,07/07/2023,North,1766.5
156,3278,485,4,66.36,15/07/2023,East,265.44
157,4065,438,6,287.38,16/12/2023,West,1724.28
158,3088,210,5,348.29,15/03/2023,North,1741.45
159,4099,207,3,5.91,18/09/2023,North,17.73
160,3182,466,2,419.6,30/10/2023,West,839.2
161,1200,380,6,32.88,19/10/2023,East,197.28000000000003
162,2863,149,4,127.23,23/05/2023,West,508.92
163,1779,113,3,481.95,22/10/2023,West,1445.85
164,3977,233,8,45.12,07/02/2023,South,360.96
165,4104,175,9,413.84,05/02/2023,South,3724.56
166,4119,183,7,327.74,25/04/2023,West,2294.1800000000003
167,1502,442,2,301.2,02/01/2023,East,602.4
168,3454,257,8,292.93,15/01/2023,East,2343.44
169,4645,385,5,87.4,25/03/2023,East,437
170,2751,413,7,336.07,07/11/2023,North,2352.49
171,1804,193,5,476.06,11/09/2023,South,2380.3
172,3146,396,2,43.13,14/08/2023,East,86.26
173,3731,193,4,169.54,29/11/2023,North,678.16
174,2895,156,5,238.76,07/07/2023,West,1193.8
175,3773,263,6,119.98,25/01/2023,West,719.88
176,2570,419,5,371.74,27/09/2023,West,1858.7
177,1960,197,1,345.87,28/08/2023,South,345.87
178,4810,115,1,63.3,03/09/2023,North,63.3
179,3660,443,3,286.88,26/06/2023,West,860.64
180,2485,177,9,187.59,12/06/2023,East,1688.31
181,3690,445,2,118.05,02/08/2023,East,236.1
182,4840,171,5,424.91,18/09/2023,East,2124.55
183,2028,369,9,32.06,24/08/2023,East,288.54
184,4289,386,7,236.36,23/12/2023,West,1654.52
185,1502,165,8,240.28,25/05/2023,East,1922.24
186,3814,467,2,287.21,10/03/2023,East,574.42
187,1397,167,5,102.81,08/09/2023,West,514.05
188,1870,292,9,436.24,23/02/2023,North,3926.16
189,3842,154,1,482.82,24/06/2023,West,482.82
190,1392,478,1,276.73,11/08/2023,South,276.73
191,1206,267,8,131.78,26/06/2023,South,1054.24
192,2038,124,2,439.03,26/11/2023,West,878.06
193,2881,230,9,494.15,03/03/2023,South,4447.349999999999
194,4625,424,9,372.23,15/12/2023,North,3350.07
195,3939,201,4,170.18,16/01/2023,North,680.72
196,2484,473,2,121.83,28/07/2023,East,243.66
197,4762,381,3,82.53,15/05/2023,South,247.59
198,4646,395,1,121.29,12/02/2023,North,121.29
199,1863,393,3,117.54,21/06/2023,North,352.62
200,3790,362,5,483.87,23/11/2023,South,2419.35
201,4312,219,3,323.4,21/03/2023,West,970.1999999999999
202,1563,330,3,87.65,07/07/2023,North,262.95000000000005
203,2020,390,6,246.58,07/05/2023,East,1479.48
204,1095,260,3,96.39,03/11/2023,South,289.17
205,2923,260,3,304.98,07/01/2023,East,914.94
206,2757,177,9,174,22/01/2023,North,1566
207,3532,137,2,101.82,24/01/2023,North,203.64
208,4478,493,1,125.18,26/12/2023,North,125.18
209,3278,127,8,339.17,25/10/2023,South,2713.36
210,3796,199,3,206.98,08/09/2023,North,620.9399999999999
211,2678,393,7,259.01,30/05/2023,West,1813.07
212,4242,499,2,411.56,12/06/2023,South,823.12
213,1540,223,8,329.43,26/04/2023,West,2635.44
214,2059,191,9,233.89,02/07/2023,North,2105.0099999999998
215,3572,354,8,477.26,03/09/2023,East,3818.08
216,2183,196,8,111.18,11/05/2023,East,889.44
217,4910,105,8,148.05,28/12/2023,South,1184.4
218,2722,268,7,456.16,02/10/2023,North,3193.1200000000003
219,4314,482,2,427.35,24/11/2023,South,854.7
220,4157,370,8,69.38,05/05/2023,North,555.04
221,2819,207,5,465.32,03/08/2023,West,2326.6
222,3625,486,6,10.03,16/10/2023,West,60.17999999999999
223,3729,398,4,412.1,28/09/2023,South,1648.4
224,3604,146,1,143.01,10/03/2023,West,143.01
225,2597,198,5,98.39,12/12/2023,East,491.95
226,4060,113,3,227.11,13/09/2023,South,681.33
227,3693,293,9,449.06,14/10/2023,West,4041.54
228,1795,256,4,394.02,19/09/2023,North,1576.08
229,2051,487,2,483.7,27/05/2023,South,967.4
230,2643,253,4,272.79,15/01/2023,East,1091.16
231,4627,214,3,257.73,17/10/2023,North,773.19
232,2363,495,3,11.45,05/12/2023,East,34.349999999999994
233,4869,357,5,94.4,26/06/2023,North,472
234,2981,244,1,251.32,23/03/2023,North,251.32
235,2354,390,5,377.52,23/06/2023,East,1887.6
236,2663,109,8,412.19,20/02/2023,North,3297.52
237,2529,467,9,145.22,24/09/2023,South,1306.98
238,3038,313,1,357.67,04/01/2023,West,357.67
239,4419,332,2,415.12,04/12/2023,North,830.24
240,2496,270,2,190.53,24/10/2023,South,381.06
241,4302,120,6,349.3,14/09/2023,North,2095.8
242,3237,114,1,221.45,09/01/2023,East,221.45
243,4296,467,1,492.9,17/11/2023,South,492.9
244,2408,225,2,8.3,30/09/2023,North,16.6
245,2400,440,4,210.1,19/11/2023,East,840.4
246,2306,440,2,135.54,09/12/2023,North,271.08
247,3680,312,4,425.62,14/09/2023,South,1702.48
248,3675,287,3,147.13,28/05/2023,South,441.39
249,1972,271,3,274.2,11/07/2023,West,822.5999999999999
250,2768,346,9,371.43,04/05/2023,North,3342.87
251,2282,104,8,251.13,23/07/2023,South,2009.04
252,4430,330,9,208.15,03/12/2023,East,1873.3500000000001
253,1709,300,1,26.05,26/03/2023,South,26.05
254,2479,472,5,16.35,07/06/2023,North,81.75
255,2434,248,4,478.87,23/01/2023,South,1915.48
256,1648,171,9,323.41,30/04/2023,South,2910.69
257,1317,325,3,413.5,25/02/2023,West,1240.5
258,4748,173,5,242.82,30/10/2023,South,1214.1
259,4296,406,8,134.48,02/01/2023,North,1075.84
260,4890,268,5,150.8,28/12/2023,North,754
261,2257,348,9,26.53,04/08/2023,South,238.77
262,1683,379,2,396.49,02/02/2023,South,792.98
263,1663,251,6,292.88,06/09/2023,South,1757.28
264,2998,323,5,243,25/08/2023,East,1215
265,4898,324,9,426.89,18/04/2023,North,3842.0099999999998
266,4445,137,7,225.2,28/09/2023,North,1576.3999999999999
267,4743,143,8,474.23,15/10/2023,North,3793.84
268,2631,284,7,11.55,28/12/2023,North,80.85000000000001
269,2495,340,5,492.39,11/06/2023,East,2461.95
270,4304,430,5,408.86,14/10/2023,North,2044.3000000000002
271,4763,450,4,180.69,28/09/2023,West,722.76
272,2136,309,2,299.7,28/05/2023,South,599.4
273,2853,122,9,432.98,16/04/2023,North,3896.82
274,2520,223,3,243.39,31/01/2023,South,730.17
275,3489,185,3,30.27,15/09/2023,North,90.81
276,1563,142,3,452.33,26/09/2023,East,1356.99
277,2291,139,8,260.92,18/12/2023,East,2087.36
278,4581,402,6,274.85,28/09/2023,West,1649.1000000000001
279,4878,268,1,11.79,25/01/2023,East,11.79
280,4457,274,3,54.53,28/11/2023,East,163.59
281,4458,119,4,389.81,28/01/2023,East,1559.24
282,4184,208,2,220.3,15/04/2023,North,440.6
283,2636,292,6,499.04,25/09/2023,South,2994.2400000000002
284,4696,343,1,349.36,01/08/2023,West,349.36
285,3999,423,1,475.05,05/07/2023,South,475.05
286,4152,379,8,143.28,24/05/2023,West,1146.24
287,1698,327,4,92.2,09/07/2023,West,368.8
288,3160,135,1,191.41,15/03/2023,North,191.41
289,1001,144,7,136.06,01/04/2023,South,952.4200000000001
290,1641,485,9,308.62,21/02/2023,South,2777.58
291,3267,127,7,373.5,13/10/2023,South,2614.5
292,2589,253,1,204.04,07/04/2023,West,204.04
293,1854,122,1,49.47,16/01/2023,West,49.47
294,2759,306,1,18.03,18/05/2023,West,18.03
295,4296,190,8,112.92,23/05/2023,North,903.36
296,3432,489,7,367.58,09/10/2023,West,2573.06
297,4474,458,3,114.67,08/07/2023,North,344.01
298,2661,137,3,455.93,15/01/2023,South,1367.79
299,2153,327,3,327.56,14/05/2023,North,982.6800000000001
300,2076,301,2,431.73,19/04/2023,East,863.46
301,2707,449,4,195.98,09/05/2023,East,783.92
302,3777,408,7,491.86,24/04/2023,South,3443.02
303,2695,353,9,341.35,28/03/2023,East,3072.15
304,2733,137,3,181.7,14/08/2023,West,545.0999999999999
305,2439,320,7,110.21,12/06/2023,East,771.4699999999999
306,3294,286,4,433.93,04/05/2023,North,1735.72
307,1835,142,1,162.46,17/04/2023,West,162.46
308,4510,458,5,26.96,11/12/2023,East,134.8
309,1202,213,8,142.94,09/05/2023,South,1143.52
310,4255,359,3,93.83,11/12/2023,East,281.49
311,1122,104,4,163.27,21/10/2023,West,653.08
312,1400,167,3,308.57,27/08/2023,East,925.71
313,1766,327,8,252.71,10/02/2023,East,2021.68
314,1293,222,8,356.87,20/05/2023,North,2854.96
315,3327,272,4,170.25,18/05/2023,North,681
316,4908,435,2,64.31,04/06/2023,North,128.62
317,3931,252,3,84.33,22/08/2023,East,252.99
318,4681,366,3,399.65,22/11/2023,North,1198.9499999999998
319,1197,256,4,53.51,14/02/2023,North,214.04
320,4029,261,2,400.07,24/09/2023,North,800.14
321,2930,313,2,110.25,11/09/2023,South,220.5
322,4582,497,3,340.81,07/10/2023,West,1022.4300000000001
323,3799,475,1,313.43,09/11/2023,South,313.43
324,3191,125,8,53.64,09/02/2023,East,429.12
325,1608,391,6,334.6,11/12/2023,East,2007.6000000000001
326,4272,288,3,226.52,20/10/2023,North,679.5600000000001
327,2147,499,1,355.05,16/09/2023,West,355.05
328,1186,221,3,418.56,09/03/2023,South,1255.68
329,4397,329,1,24.55,21/08/2023,West,24.55
330,3511,158,3,325.74,04/04/2023,East,977.22
331,4420,195,4,56.95,26/07/2023,East,227.8
332,2794,361,6,192.54,28/10/2023,North,1155.24
333,1659,453,7,11.28,14/10/2023,South,78.96
334,3811,411,7,167.68,20/10/2023,South,1173.76
335,4002,235,9,88.83,24/04/2023,West,799.47
336,2955,449,8,280.35,12/02/2023,West,2242.8
337,3450,382,4,258.57,26/03/2023,East,1034.28
338,2369,219,6,397.67,09/04/2023,North,2386.02
339,2986,124,1,321.78,17/09/2023,East,321.78
340,2534,441,8,358.74,18/07/2023,West,2869.92
341,1146,245,6,50.78,02/05/2023,North,304.68
342,4219,111,2,18.74,29/01/2023,West,37.48
343,3911,186,8,484.92,22/12/2023,South,3879.36
344,2734,208,4,216.38,09/04/2023,West,865.52
345,2843,444,9,200.51,06/04/2023,East,1804.59
346,1488,365,4,22.33,28/12/2023,North,89.32
347,3976,321,1,63.86,01/09/2023,North,63.86
348,2959,173,7,470.53,19/05/2023,North,3293.71
349,2663,432,5,348.95,16/10/2023,East,1744.75
350,3598,409,5,207.56,21/08/2023,East,1037.8
351,3385,201,4,452.72,01/05/2023,East,1810.88
352,3919,236,6,297,17/01/2023,South,1782
353,1640,290,1,374.5,20/05/2023,North,374.5
354,2802,241,3,218.64,01/01/2023,North,655.92
355,3520,456,7,218.61,03/07/2023,North,1530.27
356,2969,172,8,38.83,23/01/2023,North,310.64
357,3198,427,9,368.32,07/01/2023,South,3314.88
358,2438,266,1,54.06,30/11/2023,North,54.06
359,4369,267,4,383.31,22/02/2023,South,1533.24
360,2634,153,2,99.47,20/08/2023,West,198.94
361,1262,358,2,127.45,20/09/2023,East,254.9
362,2787,210,1,459.36,08/04/2023,East,459.36
363,3191,331,5,238.43,13/07/2023,North,1192.15
364,3393,260,2,67,10/09/2023,East,134
365,1623,451,4,453.02,06/12/2023,North,1812.08
366,2016,426,9,228.94,28/07/2023,South,2060.46
367,4643,118,3,69.62,15/03/2023,East,208.86
368,1880,389,8,198.46,05/01/2023,East,1587.68
369,3049,149,6,296.72,19/12/2023,South,1780.3200000000002
370,3944,274,5,184.36,23/12/2023,South,921.8000000000001
371,2327,401,2,462.54,13/06/2023,West,925.08
372,3301,283,3,138.49,27/10/2023,South,415.47
373,4723,284,8,92.03,02/05/2023,North,736.24
374,1452,438,9,114.37,19/05/2023,North,1029.33
375,4108,406,7,46.46,29/05/2023,East,325.22
376,2183,409,1,228.89,11/12/2023,East,228.89
377,4062,445,6,439.78,04/02/2023,South,2638.68
378,3056,180,7,156.14,18/10/2023,North,1092.98
379,4304,473,6,132.88,04/02/2023,South,797.28
380,4170,255,2,419.51,16/06/2023,South,839.02
381,2682,374,9,156.47,16/10/2023,North,1408.23
382,3863,382,3,241.06,18/03/2023,East,723.1800000000001
383,3255,348,6,20.46,20/11/2023,East,122.76
384,2154,246,6,147.1,20/08/2023,East,882.5999999999999
385,1403,106,8,69.63,03/11/2023,East,557.04
386,3199,256,4,57.39,05/09/2023,West,229.56
387,3101,270,6,218.55,21/10/2023,West,1311.3000000000002
388,4191,168,1,142.28,11/02/2023,East,142.28
389,2696,193,9,87.39,22/06/2023,North,786.51
390,4991,468,9,258.19,30/01/2023,North,2323.71
391,1627,462,7,393.1,12/06/2023,South,2751.7000000000003
392,1586,475,1,368.76,28/01/2023,West,368.76
393,2648,285,3,129.13,28/12/2023,East,387.39
394,2443,491,5,135.25,22/06/2023,East,676.25
395,2445,269,4,367.29,31/10/2023,North,1469.16
396,1103,303,5,280.8,07/11/2023,South,1404
397,4923,141,7,372.5,03/06/2023,North,2607.5
398,1253,112,9,5.68,29/12/2023,West,51.12
399,4298,253,1,48.13,14/08/2023,North,48.13
400,4183,373,5,401.98,05/05/2023,East,2009.9
401,3557,397,3,426.3,06/06/2023,North,1278.9
402,2496,150,3,175,07/11/2023,North,525
403,1098,468,2,479.38,13/07/2023,East,958.76
404,3200,311,6,154.28,22/11/2023,West,925.6800000000001
405,2884,243,6,445.69,31/10/2023,West,2674.14
406,3961,456,3,213.75,20/09/2023,West,641.25
407,2919,102,1,283.1,16/03/2023,West,283.1
408,1877,353,7,323.42,03/05/2023,East,2263.94
409,1337,434,2,70.89,21/03/2023,West,141.78
410,4777,355,8,23.37,14/05/2023,East,186.96
411,3869,197,3,216.27,16/09/2023,East,648.8100000000001
412,4234,272,1,84.38,03/04/2023,North,84.38
413,4791,249,9,276.72,27/04/2023,North,2490.4800000000005
414,1956,378,5,229.55,17/06/2023,East,1147.75
415,2704,158,1,65.44,17/01/2023,North,65.44
416,1160,212,6,334.56,18/08/2023,North,2007.3600000000001
417,2603,423,3,15.14,30/12/2023,South,45.42
418,3848,342,4,67.56,30/10/2023,South,270.24
419,1397,409,8,351.58,11/01/2023,South,2812.64
420,2300,156,5,266.29,02/03/2023,West,1331.45
421,1815,466,6,144.56,02/09/2023,North,867.36
422,4987,159,4,94.22,11/03/2023,West,376.88
423,2527,428,6,322.93,03/11/2023,East,1937.58
424,2919,315,3,106.77,29/08/2023,West,320.31
425,2415,332,1,492.38,25/11/2023,North,492.38
426,2158,154,6,435.31,13/07/2023,South,2611.86
427,2218,472,1,70.42,20/11/2023,West,70.42
428,1400,307,3,430.28,09/11/2023,North,1290.84
429,1639,162,8,175.8,18/06/2023,South,1406.4
430,4104,283,7,247.54,20/08/2023,East,1732.78
431,3735,410,8,75.7,04/04/2023,East,605.6
432,1459,380,2,63.69,12/05/2023,East,127.38
433,1954,125,7,433.42,07/01/2023,West,3033.94
434,4954,276,4,316.8,23/03/2023,East,1267.2
435,1469,162,1,232.93,16/05/2023,West,232.93
436,4446,172,3,22.9,16/12/2023,West,68.69999999999999
437,2045,434,5,461.37,20/03/2023,West,2306.85
438,3797,266,8,191.16,10/01/2023,West,1529.28
439,2693,324,2,211.24,20/04/2023,South,422.48
440,3085,164,2,148.46,08/09/2023,South,296.92
441,3277,168,8,446.19,13/07/2023,West,3569.52
442,4436,108,9,175.57,16/04/2023,South,1580.1299999999999
443,1562,335,1,91.25,26/07/2023,North,91.25
444,3485,297,2,252.78,30/05/2023,South,505.56
445,2799,272,4,391.84,14/08/2023,East,1567.36
446,4354,381,3,188.81,19/11/2023,West,566.4300000000001
447,3074,127,1,327.76,17/09/2023,South,327.76
448,1225,395,4,155.59,30/03/2023,South,622.36
449,4348,498,2,361.28,10/03/2023,West,722.56
450,1797,233,5,336.02,05/11/2023,West,1680.1
451,4680,126,1,341.97,05/12/2023,North,341.97
452,3331,137,8,324.72,02/07/2023,North,2597.76
453,3926,295,2,82.37,16/02/2023,West,164.74
454,1959,302,3,444.56,10/10/2023,West,1333.68
455,2504,184,3,294.95,26/05/2023,North,884.8499999999999
456,1452,419,4,194.28,03/11/2023,North,777.12
457,4067,129,7,90.31,09/12/2023,South,632.1700000000001
458,4900,198,9,392.87,01/05/2023,South,3535.83
459,1815,486,3,256.98,08/03/2023,East,770.94
460,1658,289,1,77.91,02/01/2023,East,77.91
461,4587,111,1,461.1,02/09/2023,North,461.1
462,1546,190,6,57.51,11/04/2023,West,345.06
463,2215,129,5,264.49,21/05/2023,West,1322.45
464,4120,312,7,307.24,17/06/2023,South,2150.6800000000003
465,4583,137,7,499.5,12/01/2023,East,3496.5
466,1016,440,3,74.75,12/02/2023,South,224.25
467,4243,159,7,308.71,13/03/2023,West,2160.97
468,2243,393,9,240.97,25/11/2023,South,2168.73
469,3205,459,8,132.27,04/01/2023,South,1058.16
470,3524,242,3,471.39,14/06/2023,South,1414.17
471,2069,279,5,396.47,13/06/2023,North,1982.3500000000001
472,4444,384,8,389.64,01/02/2023,East,3117.12
473,3565,211,2,450.1,04/07/2023,South,900.2
474,3146,329,7,363.9,20/05/2023,South,2547.2999999999997
475,4963,120,7,255.84,14/10/2023,South,1790.88
476,2768,244,8,198.81,17/06/2023,East,1590.48
477,2060,245,1,353.55,29/12/2023,West,353.55
478,3327,474,8,303.39,04/03/2023,North,2427.12
479,4420,415,1,273.72,09/08/2023,North,273.72
480,3544,265,3,296.58,28/08/2023,South,889.74
481,1301,239,9,329.4,07/11/2023,West,2964.6
482,1180,302,4,484.51,23/10/2023,West,1938.04
483,1606,343,9,377.81,07/08/2023,West,3400.29
484,4170,212,1,92.33,19/12/2023,West,92.33
485,1699,300,8,236.05,29/08/2023,South,1888.4
486,1992,484,3,340.73,22/10/2023,North,1022.19
487,2139,413,7,91.95,29/07/2023,East,643.65
488,1190,358,2,466.69,21/06/2023,South,933.38
489,3300,354,7,43.13,20/01/2023,East,301.91
490,1980,122,7,307.44,06/04/2023,North,2152.08
491,3975,492,9,488.09,07/12/2023,South,4392.8099999999995
492,3006,345,2,365.29,23/12/2023,South,730.58
493,2184,438,8,340.24,27/01/2023,West,2721.92
494,4327,410,5,498.72,21/10/2023,East,2493.6000000000004
495,4394,465,9,396.94,09/12/2023,East,3572.46
496,1127,471,8,485.3,20/12/2023,East,3882.4
497,3065,417,3,350.95,17/03/2023,West,1052.85
498,2816,186,3,334.4,24/09/2023,West,1003.1999999999999
499,2758,318,8,382.47,13/06/2023,West,3059.76
500,3613,455,9,98.43,19/08/2023,West,885.8700000000001
501,1569,126,2,403.86,29/12/2023,South,807.72
502,2346,389,3,485.22,09/07/2023,North,1455.66
503,2895,388,8,307.76,29/09/2023,North,2462.08
504,3733,447,2,11.12,11/02/2023,North,22.24
505,4863,322,8,40.69,21/08/2023,East,325.52
506,1625,451,5,121.18,22/11/2023,East,605.9000000000001
507,4359,277,6,248.09,13/01/2023,North,1488.54
508,3901,247,4,209.81,05/02/2023,South,839.24
509,2686,326,3,489.71,16/03/2023,West,1469.1299999999999
510,4009,450,8,473.07,19/05/2023,North,3784.56
511,4710,285,9,199.4,04/05/2023,East,1794.6000000000001
512,1154,393,8,398.19,31/10/2023,East,3185.52
513,3537,140,9,320,07/09/2023,West,2880
514,2409,492,1,125.35,06/06/2023,East,125.35
515,1784,492,5,465.93,19/01/2023,East,2329.65
516,4175,290,7,133.46,05/05/2023,West,934.22
